// game list translation template for FB Alpha version 0x029737

// codepage=936


8ballact	抢8撞球(大金刚转换版)
simpsons2pj	辛普森一家(2人版日版)
simpsons2p	辛普森一家(2人版世界版,第1套)
simpsons2p2	辛普森一家(2人版世界版,第2套)
simpsons2p3	辛普森一家(2人版世界版,第3套)
simpsons	辛普森一家(4人版世界版,第1套)
simpsons4pa	辛普森一家(4人版世界版,第2套)
md_bartvssm1	辛普森一家-巴特决战太空怪(欧版,美版)
md_bartvssm	辛普森一家-巴特决战太空怪(欧版,美版,修正版A)
sms_bartvssm	辛普森一家-巴特决战太空怪(欧版,巴西版)
gg_bartvssm	辛普森一家-巴特决战太空怪(欧版,美版)
sms_bartvsw	辛普森一家-巴特对抗世界(欧版,巴西版)
gg_bartvswd	辛普森一家-巴特对抗世界(世界版)
md_bartnigh	辛普森一家-巴特的恶梦(欧版,美版)
gg_bartman	辛普森一家-巴特接触辐射人(美版)
gg_smurfs	蓝精灵(欧版)
sms_smurfs	蓝精灵(欧版,巴西版)
md_smurfs	蓝精灵(欧版,修正版A)
gg_smurfs2	蓝精灵2(欧版)
sms_smurfs2	蓝精灵2(欧版)
sms_smurfs2p	蓝精灵2(欧版,工程版)
md_smurfstw	蓝精灵环游世界(欧版)
srumbler	高速追击令(第1套)
srumbler2	高速追击令(第2套)
srumbler3	高速追击令(第3套)
md_thor	托尔传说(欧版)
md_thorg	托尔传说(德国版)
md_thorjp	托尔传说(日版,工程版)
md_thork	托尔传说(韩版)
md_thors	托尔传说(西班牙版)
md_thorp2	托尔传说(美版,工程版,19941004)
md_thorp1	托尔传说(美版,工程版,19941017)
md_thorf	托尔传说-光之继承者(法国版)
md_thorj	托尔传说-光之继承者(日版)
md_supshin	超级忍(日版)
md_supshin2	超级忍II(日版,韩版)
md_supshin2p1	超级忍II(日版,工程版)
md_supshin2p2	超级忍II(日版,工程版,早期版)
superspy	谍报飞龙(NGM-011)(NGH-011)
sms_termntrb	终结者(巴西版)
sms_termntr	终结者(欧版)
md_termintr	终结者(欧版)
gg_termntr	终结者(欧版,美版)
md_termintru	终结者(美版)
sms_3dragon	三龙传说(韩版)
md_tick	踢克超人(美版)
thetogyu	斗牛(315-5065,日版)
pce_druaga	龙之塔
ssideki4	终极十一人-SNK足球锦标赛/得点王-炎之自由人
wintbob	冬季雪球(盗版)
cv_yolk	保护鸡蛋(工程版)
md_youngind	少年印第安纳琼斯年谱(美版,工程版)
md_themeprk	主题公园(欧版,美版)
md_thomas	火车头汤玛仕和朋友们(美版)
trally	极速英豪-拉力赛车(ALM-003)(ALH-003)
3wondersh	三个奇迹(盗版第1套,奇迹3910520世界版)
3wondersb	三个奇迹(盗版第2套,奇迹3910520世界版)
3wondersr1	三个奇迹(奇迹3910513世界版)
3wonders	三个奇迹(奇迹3910520世界版)
3wondersu	三个奇迹(奇迹3910520美版)
cv_threshld	致命临界点
thunderl	雷与电砖块物语
pce_tblade	雷霆直升机
thndrbld1	雷霆直升机(豪华版/站立型,未保护版)
sms_tblade	雷霆直升机(欧版,美版,巴西版)
sms_tbladej	雷霆直升机(日版)
thndrbldd	雷霆直升机(直立型,FD1094317-0056解密版)
thndrbld	雷霆直升机(直立型,FD1094317-0056)
thndblst	雷鸣冲击波(日版)
thunderxj	雷霆战机(日版)
thunderx	雷霆战机(第1套)
thunderxa	雷霆战机(第2套)
thunderxb	雷霆战机(第3套)
thndrx2a	雷霆战机II(亚洲版)
thndrx2j	雷霆战机II(日版)
thndrx2	雷霆战机II(世界版)
tdragon1	雷龙(4thJun.1991)
tdragon	雷龙(9thJan.1992)
tdragonb	雷龙(盗版)
tdragon2a	雷龙2(1stOct.1993)
tdragon2	雷龙2(9thNov.1993)
md_tf2	闪电出击II(欧版,美版)
md_tf2j	闪电出击IIMD(日版)
md_tf3	闪电出击III(日版,美版)
md_tf4	闪电出击IV(欧版)
md_tf4j	闪电出击IV(日版)
thundfoxj	雷狐行动(日版)
md_tfoxj	雷狐(日版)
thundfoxu	雷狐行动(美版)
md_tfox	雷狐(美版)
thundfox	雷狐行动(世界版)
theroes	霹雳英雄
thoop	闪电投篮(版本1)
md_tpwres	雷霆职业摔角列传(日版)
thndzonej	闪电区域(日版)
thndzone4	闪电区域(世界版4人版)
thndzonea	闪电区域(世界版)
thndzone	闪电区域(世界版,修正版1)
tigerhb1	老虎直升机(盗版第1套)
tigerhb2	老虎直升机(盗版第2套)
tigerhb3	老虎直升机(盗版第3套)
tigerhj	老虎直升机(日版)
tigerh	老虎直升机(美版)
tg_tigerrod	虎之道
tigeroadb	虎之道(美版盗版,第1套)
tigeroadb2	虎之道(美版盗版,第2套)
tigeroad	虎之道(美版)
tigeroadu	虎之道(美版,Romstar授权)
tg_timcrus	时巡弹珠台
pce_timcrus2	时巡弹珠台II
md_timedom	时间支配者(日版,韩版)
timefgtr	时空战机(小蜜蜂硬件的时空飞行员转换版)
md_timekill	时空杀手(欧版)
md_timekillu	时空杀手(美版)
timelimt	刻不容缓
cv_timeplt	时空飞行员
timeplt	时空飞行员
tp84	时空飞行员'84(第1套)
tp84a	时空飞行员'84(第2套)
tp84b	时空飞行员'84(第3套)
timeplta	时空飞行员(Atari)
timepltc	时空飞行员(Centuri)
timescan1	时空弹珠台(第1套,系统16A,FD1089B317-0024)
timescan	时空弹珠台(第2套,系统16B)
sms_timesold	时空战士(欧版,美版,巴西版)
timesupd	到时间了演示版
tg_timeball	迷魂球阵
md_tinhead	铁头战士(美版)
md_tintin	丁丁西藏历险记(欧版)
gg_tintin	丁丁在西藏(欧版)
md_ttoonbhtk	宾尼兔大冒险(韩版)
md_ttacme	宾尼兔大冒险-卡通明星联赛(欧版)
md_ttacmeu	宾尼兔大冒险-卡通明星联赛(美版,韩版)
md_ttoonbht	宾尼兔大冒险-巴斯特的隐藏宝藏(欧版)
md_ttoonbhtu	宾尼兔大冒险-巴斯特的隐藏宝藏(美版)
md_ttoon3	宾尼兔大冒险3(台湾版,破解版)
tiptop	登顶
pce_titan	泰坦球
md_tnnbass	TNN鲈鱼冠军赛(美版)
md_tnnout	TNN户外鲈鱼赛'96(美版)
md_slimew	托德在粘土世界的冒险(美版)
md_toejama	托杰和厄尔(世界版)
md_toejam	托杰和厄尔(世界版,修正版A)
md_toejam2g	托杰和厄尔芬克唐星球的恐慌(德国版)
md_toejam2	托杰和厄尔芬克唐星球的恐慌(欧版)
md_toejam2j	托杰和厄尔芬克唐星球的恐慌(日版)
md_toejam2u	托杰和厄尔芬克唐星球的恐慌(美版)
pce_toiletk	马桶小子
tokib	托肯(盗版)
tokiu	托肯(美版,第1套)
tokiua	托肯(美版第2套)
toki	托肯(世界版第1套)
tokia	托肯(世界版第2套)
md_toki1	托肯-无尾猴之怒~JuJu传说(世界版)
md_toki	托肯-无尾猴之怒~JuJu传说(世界版,修正版A)
tokisens	时空战士
tokiob	轰炸东京(盗版)
tokio	轰炸东京(新版)
jackalj	赤色要塞(日版,八向操纵杆)
sms_tomjerry	汤姆和杰瑞(工程版)
md_tomjerry	汤姆和杰瑞-疯狂滑稽大作战(美版,1993)
md_tomjerry1	汤姆和杰瑞-疯狂滑稽大作战(美版,1994)
sms_tomjermv	汤姆和杰瑞-电影版(欧版,巴西版)
gg_tomjermvj	汤姆和杰瑞-电影版(日版)
gg_tomjermv	汤姆和杰瑞-电影版(美版)
md_dinohirep3	汤姆梅森的恐龙战士(工程版,19930426)
md_dinohirep2	汤姆梅森的恐龙战士(工程版,19930427)
md_dinohirep1	汤姆梅森的恐龙战士(工程版,19930502)
md_dinohire	汤姆梅森的恐龙战士(美版)
cv_tomarc	野蛮人托马克
md_lasorda	汤米·拉索达棒球赛(美版)
md_larussa	托尼·拉鲁萨棒球赛(美版,澳洲版)
md_topfight	格斗王2000真人快打VIII
md_topf2k5	格斗王2005
md_topgear2	超越巅峰2(美版)
topgunbl	王牌炮手(盗版,旋转操纵杆)
topgunr	王牌炮手(美版,八向操纵杆)
tophuntrh	顶尖猎人-罗迪和凯茜(NGH-046)
tophuntr	顶尖猎人-罗迪和凯茜(NGM-046)
tpgolf	顶尖高尔夫(NGM-003)(NGH-003)
md_topgolf	顶级职业高尔夫(日版)
md_topgolf2	顶级职业高尔夫2(日版)
drivfrct	顶级赛车(方程式赛车的盗版)
topsecrt	绝密任务(日版)
topspeedu	最高时速(美版)
topspeed	最高时速(世界版)
toppyrap	陶比与罗比
pce_toramich	虎之道
toramich	虎之道(日版)
gg_torarete	別想追到我(日版)
toryumon	登龙门
pce_etercity	都市转送计划-永恒之城
md_totlfoot	对攻式足球大赛(欧版)
sms_totowld3	托托世界3(韩版)
tturfu	硬汉(第1套,美版,8751317-0099)
tturf	硬汉(第2套,日版,8751317-0104)
md_toughman	硬汉拳击争霸赛(欧版,美版)
md_kingcol	斗技王(日版)
tkdenshoa	斗姬传说-天使之眼(版本960427)
tkdensho	斗姬传说-天使之眼(版本960614)
arkatour	打砖块锦标赛(美版)
cv_ttennis	网球联赛
md_toxicc	环保卫士(美版)
pce_toyshopb	玩具小子
md_toystory	玩具总动员(欧版)
md_toystoryu	玩具总动员(美版)
md_toys	玩具大作战(美版)
md_trampter	蹦床小子(美版)
sms_transbot	变速机器人(欧版,美版,巴西版)
sms_transbotc	变速机器人(欧版,美版,巴西版,世嘉卡)
sms_transbotp	变速机器人(美版,工程版)
md_transf3	变形金刚3(俄罗斯版)
md_traysia	特蕾西亚(美版)
treahunt	杰克与魔豆(盗版?)
totcarib	加勒比宝藏
sms_treinam	猴子麦莫的训练(巴西版)
tripool	三重撞球(CasinoTech)
tripoola	三重撞球(CostalGames)
tricktrp	欺诈陷阱(世界版?)
pce_tricky	动物金头脑
tg_tricky	动物金头脑
trigon	三角战斗机(日版)
triothepj	三勇士的冒险-永志不忘(日版)
triothep	三勇士的冒险-永志不忘(世界版)
tdpgal	三合扑克
triplfun	三倍乐趣
md_tplay96	职棒三杀'96(美版)
md_tplaygld	职棒三杀黄金版(美版)
md_tplayglda	职棒三杀黄金版(美版,替换版)
triplep	三重冲击(第1套)
triplepa	三重冲击(第2套)
sms_trivial	棋盘问答-初版(欧版)
trojanb	特洛伊(盗版)
trojanr	特洛伊(Romstar)
trojan	特洛伊(美版第1套)
trojana	特洛伊(美版第2套)
trophyh	胜利打猎-熊和鹿V1.0
md_troubsht	最佳射手(美版)
md_troyaik	特洛伊·埃克曼美式足球联盟赛(美版)
md_truco96	Truco纸牌'96(阿根廷版)
gg_truelies	真实的谎言(世界版)
md_truelies	真实的谎言(世界版)
md_truxton	骷髅战机(欧版,美版)~达人王(日版)
truxton2	达人王II(日版)
truxton	达人王
pce_tsuppari	碰撞大相扑-平成版
pce_baibai	都留照人之实战
sms_ttoriui	托罗历险记(韩版)
tumbleb	吸尘器小子(盗版,第1套)
tumbleb2	吸尘器小子(盗版,第2套)
tumblepj	吸尘器小子(日版)
tumblep	吸尘器小子(世界版)
md_tunshi1	吞食天地III(中文版)
md_tunshi	吞食天地III(中国,简体版)
cv_tunnels	隧道与巨人(演示版)
cv_turbo	极速赛车
turbofrc	涡轮力量
toutrun3d	户外大飙车极速版(座舱型,FD1094317-0107解密版)
toutrun3	户外大飙车极速版(座舱型,FD1094317-0107)
toutrun1	户外大飙车极速版(豪华座舱型,FD1094317-0109)
toutrunj1d	户外大飙车极速版(日版,豪华座舱型,FD1094317-0101解密版)
toutrunj1	户外大飙车极速版(日版,豪华座舱型,FD1094317-0101)
toutrunjd	户外大飙车极速版(日版,户外大飙车升级版,FD1094317-0117解密版)
toutrunj	户外大飙车极速版(日版,户外大飙车升级版,FD1094317-0117)
toutrund	户外大飙车极速版(户外大飙车升级版,FD1094317-0118解密版)
toutrun	户外大飙车极速版(户外大飙车升级版,FD1094317-0118)
md_toutrun	户外大飙车加速版(欧版,日版)
turkhunt	猎鹿(美版v1.0)
sms_turmamon	莫妮卡在救援(巴西版)
md_turmamon	莫妮卡在怪物大陆(巴西版)
turpin	小乌龟
turpins	小乌龟(紧急起飞硬件盗版)
tg_turrican	外星悍将
md_turrican	外星悍将(欧版,美版)
turtshipj	龟甲船(日版)
turtshipk	龟甲船(韩版)
turtshipkn	龟甲船(韩版,88/9)
turtshipko	龟甲船(韩版,较旧版)
turtship	龟甲船(北美版)
turtles	乌龟冒险
tutankhm	图坦卡门
cv_tutankhm	图坦卡门
cv_tutankhma	图坦卡门(替换版)
tutankhms	图坦卡门(SternElectronics)
pce_tvbasket	实况篮球
tg_tvbasket	实况篮球
pce_tvfootbl	实况足球
tg_tvfootbl	实况足球
pce_tvhockey	实况曲棍球
tg_tvhockey	实况曲棍球
twinactn	孪生劫
twinadvk	哥俩好大冒险(韩版)
twinadv	哥俩好大冒险(世界版)
md_twincobr	双头蛇(美版)
twineagl	双鹰-乔兄弟的复仇
twinfalc	双隼
md_twinhawk	双鹰(欧版)~大旋风(日版)
twinhawku	双鹰(美版)
twinhawk	双鹰(世界版)
twinbee	兵蜂(ROM版)
sg1k_sxpao	双响炮(台湾版)
twinkle	闪亮小精灵
twinspri	梦幻小妖精
md_twinklet	光辉传说(日版)
md_twistedf	疯狂弹珠台(美版,工程版)
twocrude	暴力克星(美版FT修正版1)
twocrudea	暴力克星(美版FT版)
md_twocrude	暴力克星(欧版)
md_twocrudeu	暴力克星(美版)
md_twotribe	两个部落-上帝也疯狂II(欧版)
typhoon	飓风战机
md_tyrant	暴君-诸神领地战(美版)
earthjkr	联合国防力量-地球战役(日版)
earthjkrp	联合国防力量-地球战役(日版,工程版?)
unsquad	维和部队(美版)
cawingj	雌虎战机(901012日版)
md_gomora	宇宙战舰蛾摩拉(日版)
ufosensi	飞碟战士小洋子(MC-8123,317-0064)
sms_ultima4	创世纪IV-圣者传奇(欧版,巴西版)
sms_ultima4p	创世纪IV-圣者传奇(欧版,工程版)
uecology	终极生态(931203日版)
md_umk3	终极真人快打3(欧版)
md_umk3u	终极真人快打3(美版)
md_ultqix	终极天蚕变(美版)
md_ultsoccr	终极足球(欧版)
sms_ultsoccr	终极足球(欧版,巴西版)
gg_ultsoccr	终极足球(欧版,日版,巴西版)
md_ultsoccrp	终极足球(欧版,工程版)
uballoon	终极气球
utoukond	奥特曼斗魂传说(日版)
ultraman	奥特曼(日版)
md_ultraman	奥特曼(日版)
umanclub	奥特曼俱乐部-战斗!奥特曼兄弟!!
md_unchartd	大航海时代(美版)
unclepoo	普叔叔
md_undead	亡灵线(日版)
uccopsar	暴力刑警(阿尔法更新版)
uccopsj	暴力刑警(日版)
uccopsu	暴力刑警(美版)
uccops	暴力刑警(世界版)
md_univsold	再造战士(欧版,美版)
uniwars	宇宙战争
md_unknown2	未知游戏(与洛克人有关?)
unkpacg	未知的吃豆小精灵赌博游戏
md_unnecess	暴力橄榄球95(美版)
cv_upndown	金龟车大跃进
upndown	金龟车大跃进(315-5030)
upndownu	金龟车大跃进(未加密版)
sg1k_uranaiac	可爱天使占卜(日版)
gg_ustrike	都市激战直升机(欧版,美版)
md_ustrike	都市激战直升机(欧版,美版)
mustangs	野马战机(25thMay.1990/SeoulTrading)
mustang	野马战机(25thMay.1990)
mustangb	野马战机(盗版)
mustangb2	野马战机(TAB奥地利盗版)
md_teamusa	美国世界篮球挑战赛(欧版,美版)
md_dreamteam	美国世界篮球挑战赛(日版)
pce_usaprobs	美国职业篮球
md_uwol	UWOL追逐金币
md_uzukeo	宇宙龟甲船(韩版)
vfive	飞鹰风暴(日版)
md_vfive	飞鹰风暴(日版)
vliner	水果机(第1套)
vlinero	水果机(第2套)
md_valis	梦幻战士(美版)
md_valis3j	梦幻战士III(日版,修正版A)
md_valis3	梦幻战士III(美版)
sms_vampire	吸血鬼(欧版,工程版)
gg_vampire	吸血鬼-黑暗主宰者(美版)
vampjr1	恶魔战士-午夜斗士(940630日版)
vampj	恶魔战士-午夜斗士(940705日版)
vampja	恶魔战士-午夜斗士(940705日版,替换版)
vhuntjr2	恶魔猎人-恶魔的复仇(950302日版)
vhuntjr1s	恶魔猎人-恶魔的复仇(950307日版停售版)
vhuntjr1	恶魔猎人-恶魔的复仇(950307日版)
vhuntj	恶魔猎人-恶魔的复仇(950316日版)
vhunt2d	恶魔猎人2-恶魔的复仇(970913日版凤凰版)
vhunt2r1	恶魔猎人2-恶魔的复仇(970913日版)
vhunt2	恶魔猎人2-恶魔的复仇(970929日版)
vsava	恶魔救世主-吸血鬼贵族(970519亚洲版)
vsavd	恶魔救世主-吸血鬼贵族(970519欧版凤凰版)
vsav	恶魔救世主-吸血鬼贵族(970519欧版)
vsavh	恶魔救世主-吸血鬼贵族(970519西班牙版)
vsavj	恶魔救世主-吸血鬼贵族(970519日版)
vsavu	恶魔救世主-吸血鬼贵族(970519美版)
vsav2d	恶魔救世主2-吸血鬼贵族(970913日版)
vsav2	恶魔救世主2-吸血鬼贵族(970913日版凤凰版)
vanvan	冲冲车
vanvank	冲冲车(Karateco)
vanvanb	冲冲车(第3套)
vandykeb	神话战士(盗版含PIC16c57)
vandykejal	神话战士(Jaleco,第1套)
vandykejal2	神话战士(Jaleco,第2套)
vandyke	神话战士(日版)
md_vaportr	空牙(美版)
vaportrau	空牙(美版)
vaportra	空牙(世界版修正版1)
vaportra3	空牙(世界版修正版3)
vmetaln	钢铁任务(NewWaysTradingCo.)
vmetal	钢铁任务
varthr1	威虎战机-雷暴行动(920612世界版)
varthu	威虎战机-雷暴行动(920612美版)
varth	威虎战机-雷暴行动(920714世界版)
varthjr	威虎战机-雷暴行动(920714日版重发售版)
varthj	威虎战机-雷暴行动(920714日版)
varthb	威虎战机-雷暴行动(盗版,920612世界版)
vastar	维斯特(第1套)
vastar2	维斯特(第2套)
vastar3	维斯特(第3套)
vastar4	维斯特(第4套)
md_vecman	粒子斗士(欧版,美版)
md_vecmanp1	粒子斗士(工程版)
md_vecmanp3	粒子斗士(工程版,19950724)
md_vecmanp2	粒子斗士(工程版,替换版)
md_vecman2p1	粒子斗士2(工程版)
md_vecman2p6	粒子斗士2(工程版,19960815)
md_vecman2p5	粒子斗士2(工程版,19960816)
md_vecman2p4	粒子斗士2(工程版,19960819)
md_vecman2p3	粒子斗士2(工程版,19960826)
md_vecman2p2	粒子斗士2(工程版,19960827)
md_vecman2	粒子斗士2(美版)
pce_veigues	威格斯-机动斗士
tg_veigues	威格斯-机动斗士
vendetta2pd	复仇战士(亚洲版,2人版版本D)
vendetta2pu	复仇战士(亚洲版,2人版版本U)
vendettaz	复仇战士(亚洲版,4人版版本Z)
vendettar	复仇战士(美版,4人版版本R)
vendetta2peba	复仇战士(世界版,2人版版本EB-A?)
vendetta2p	复仇战士(世界版,2人版版本W)
vendetta	复仇战士(世界版,4人版版本T)
md_venom	毒液与蜘蛛侠-分忧(欧版,美版)
cv_venture	冒险
venus	金星射击战
md_vermilj	血色之剑(日版)
md_verytex	光环战机(日版)
cv_victory	胜利
tg_victoryr	胜利赛车
pce_victoryr	胜利赛车
hustler	电视台球
hustlerb	电视台球(盗版)
cv_hustler	视频台球(工程版)
cv_hustler1	视频台球(工程版,19840727)
vpool	电视撞球台(月球登陆艇硬件盗版)
viewpoin	魔眼战机
md_viewpoin	魔眼战机(美版)
md_viewpoinp	魔眼战机(美版,工程版)
pce_vigilant	治安维持者
tg_vigilant	治安维持者
vigilantbl	治安维持者(盗版)
sms_vigilant	治安维持者(欧版,美版,巴西版)
vigilantd	治安维持者(日版,修正版D)
vigilanto	治安维持者(美版)
vigilantb	治安维持者(美版,修正版B)
vigilantg	治安维持者(美版,修正版G)
vigilanta	治安维持者(世界版,修正版A)
vigilantc	治安维持者(世界版,修正版C)
vigilant	治安维持者(世界版,修正版E)
vimanaj	银河战机(日版)
vimana	银河战机(世界版,第1套)
vimanan	银河战机(世界版,第2套)
redhawkb	文斯战机(红鹰盗版)
viofightj	暴力格斗(日版)
viofightu	暴力格斗(美版)
viofight	暴力格斗(世界版)
pce_violents	狂暴战机
viostormab	暴风小子(版本AAB)
viostorma	暴风小子(版本AAC)
viostormeb	暴风小子(版本EAB)
viostorm	暴风小子(版本EAC)
viostormj	暴风小子(版本JAC)
viostormub	暴风小子(版本UAB)
viostormu	暴风小子(版本UAC)
md_vf2	VR战士2(欧版,美版)
md_vf2k	VR战士2(韩版)
md_vf2p5	VR战士2(工程版,19960819)
md_vf2p4	VR战士2(工程版,19960830)
md_vf2p3	VR战士2(工程版,19960913)
md_vf2p2	VR战士2(工程版,19960920)
md_vf2p1	VR战士2(工程版,19960927)
md_vf2tek	VR战士2对铁拳2
sms_vfa	VR战士(巴西版)
gg_vfa	VR战士(欧版,美版)
gg_vfmini	迷你VR战士(日版)
md_vbart	虚拟巴特(世界版)
md_vpinball	虚拟弹珠台(欧版,美版)
md_vixen357	机甲神兵(日版)
md_virak	伊拉克战争(海盗版)
pce_volfied	异形天蚕变
volfiedjo	异形天蚕变(日版)
volfiedj	异形天蚕变(日版,修正版1)
md_volfied	异形天蚕变(日版)
volfiedu	异形天蚕变(美版,修正版1)
volfied	异形天蚕变(世界版,修正版1)
gowcaizr	超人学园钢帝王
md_vrtroop	VR战队(欧版,美版)
gg_vrtroop	梦幻战警(欧版,美版)
vblokbrk	对战打砖块(亚洲版)
vsgongf	拳击斗士
ryouran	对战麻将乙女缭乱
vulcan	火神奇航(新版)
vulcana	火神奇航(旧版)
vulcanb	火神奇航(最旧版)
vulgusj	决战异星球(日版?)
vulgus	决战异星球(第1套)
vulgusa	决战异星球(第2套)
pce_wring	宇宙双鹰
md_wackyrac	疯狂赛车(美版,工程版)
md_wworldsp3	创意世界(工程版,19940808)
md_wworldsp2	创意世界(工程版,19940817)
md_wworldsp1	创意世界(工程版,19940819)
md_wworlds	创意世界(美版)
gg_wagyan	瓦强世界(日版)
gg_wagyana	瓦强世界(日版,替换版)
pce_waiwaimj	哇哇麻将-快乐雀友
mj4simai	若草物语-麻将四姊妹(日版)
wakuwak7	火热火热7
pce_valkyrie	女武神传说
wallc	打砖墙(第1套)
wallca	打砖墙(第2套)
pce_wallaby	袋鼠!!-兔之国袋鼠赛跑
wwallyjad	寻找沃里(修正版A,日版,FD1094317-0197A解密版)
wwallyja	寻找沃里(修正版A,日版,FD1094317-0197A)
wwallyjd	寻找沃里(修正版B,日版,FD1094317-0197B解密版)
wwallyj	寻找沃里(修正版B,日版,FD1094317-0197B)
sms_wpayton	沃尔特·佩顿美式足球赛(美版)
md_waniwani	瓦尼世界(日版)
sg1k_csot	顽皮鬼(台湾版)
wanted	通缉令
sms_wanted	通缉令(欧版,美版,巴西版)
cv_wargames	战争游戏
cv_wargamesp	战争游戏(工程版,0417)
wrofaero	空战-MEIOU计划
warofbug	飞虫大作战
warofbugu	飞虫大作战(美版)
cv_warroom	作战室
warzardr1	赤色大地(日版961023)
warzard	赤色大地(日版961121)
md_wardner	沃纳(美版)
md_wardnerj	沃纳之森(日版)
md_wario3	瓦里奥大陆3(俄罗斯版)
md_warlock	魔法师历险记(欧版,美版)
md_warlockp	魔法师历险记(美版,工程版)
warpwarp	太空青蛙
warpwarpr	太空青蛙(Rock-Ola第1套)
warpwarpr2	太空青蛙(Rock-Ola第2套)
md_warpsped	极速斜飞(美版)
warriorb	王者之剑-拉斯坦历险记前传III(日版)
md_warrior	罗马勇士(美版)
md_warrior2	罗马勇士II(美版)
wofr1	三国志II(921002世界版)
wof	三国志II(921031世界版)
wofu	三国志II(921031美版)
wofb	三国志II(盗版,921002世界版)
md_warsong	战歌(美版)
watrball	水球大战
wmatch	游泳大赛(315-5064)
md_waterwld	未来水世界(欧版,工程版)
md_wayneg	韦恩·格雷茨基与曲棍球联盟全明星赛(欧版,美版)
md_waynewld	反斗智多星(美版)
md_weaponld	武器大师(美版)
welltrisj	立体空间俄罗斯(日版,2人版)
welltris	立体空间俄罗斯(世界版?,2人版)
md_whacacri	木槌传说(美版)
gg_wheelof	幸运轮盘(美版)
md_wheelfor	幸运轮盘(美版)
sms_carmnwldb	神偷卡门在何地?(巴西版)
md_carmnwldb	神偷卡门在何地?(巴西版)
md_carmnwld	神偷卡门在何地?(欧版,美版)
sms_carmnwld	神偷卡门在何地?(美版)
md_carmntimb	神偷卡门在何时?(巴西版)
md_carmntim	神偷卡门在何时?(欧版,美版)
md_whiprush	突袭战机(美版)
md_whiprushj	突袭战机-弗特格斯行星之谜(日版)
whizz	神速战机
wiggie	打砖块性感版
wildfang	邪城风云/Tecmo骑士
md_wildsnak	野蛇方块(美版,工程版)
moomesaaab	蒙美萨的牛仔们(版本AAB)
moomesa	蒙美萨的牛仔们(版本EAB)
moomesauab	蒙美萨的牛仔们(版本UAB)
moomesauac	蒙美萨的牛仔们(版本UAC)
gg_wildsnake	野蛇方块(工程版/未发布版)
md_arcadeghu	威廉姆斯街机超级精选辑(美版)
willowj	威洛之旅(日版,日文)
willowuo	威洛之旅(美版旧版)
willowu	威洛之旅(美版)
willow	威洛之旅(美版)
wilytowr	威利电厂
sms_wimbled	温布尔登网球赛(欧版)
gg_wimbled	温布尔登网球赛(世界版)
md_wimbled	温布尔登网球锦标赛(欧版)
md_wimbledj	温布尔登网球锦标赛(日版)
md_wimbledu	温布尔登网球锦标赛(美版)
md_wimbledup	温布尔登网球锦标赛(美版,工程版)
sms_wimbled2	温布尔登网球赛II(欧版,巴西版)
wjammers	超级飞碟球
wschampb	飞行射击冠军V1.00
wschampa	飞行射击冠军V1.01
wschamp	飞行射击冠军V2.00
cv_wingwar	翼战
md_wingswor	翼人战士(美版)
pce_winshot	胜利高尔夫
md_wintchal	冬季挑战赛(欧版,美版,修正版1)
md_wintchalp	冬季挑战赛(工程版)
md_wintolu	冬季奥运会(美版)
md_wintol	冬季奥运会(欧版)
md_wintolj	冬季奥运会(日版)
sms_wintolb	冬季奥运会-利勒哈默尔'94(巴西版)
sms_wintol	冬季奥运会-利勒哈默尔'94(欧版)
gg_wintol	冬季奥运会-利勒哈默尔'94(欧版,美版)
gg_wintolj	冬季奥运会-利勒哈默尔'94(日版)
md_winx	魔法俏佳人(俄罗斯版)
md_winx3d	魔法俏佳人之魔法大冒险(俄罗斯版)
wits	维兹超人(日版)
wiz	巫师
wizt	巫师(Taito,第1套)
wizta	巫师(Taito,第2套)
md_wiznlizu	精灵魔法师(美版)
md_wiznliz	精灵魔法师-疯狂兔子大营救(欧版)
wizdfire	巫师之火(海外版v2.1)
wizdfireu	巫师之火(美版v1.1)
cv_wizmath	艾德的数学奇才
md_immortalj	永生的巫师(日版)
gg_wizard	巫术弹珠台(欧版)
wolffang	狼族-空牙2001(日版)
gg_wolfchld	狼人战士(欧版)
sms_wolfchld	狼人战士(欧版,巴西版)
md_wolfchld	狼人战士(美版)
md_wolverin	金刚狼-亚德曼之怒(欧版,美版)
wonder3	三个奇迹(910520日版)
gg_wboy	神奇小子(欧版)
sms_wboya	神奇小子(欧版,韩版,v0)~超级神奇小子(日版,v0)
sms_wboy	神奇小子(欧版,美版,巴西版,v1)
gg_wboyj	神奇小子(日版)
sg1k_wboya	神奇小子(日版,v0)
sg1k_wboy	神奇小子(日版,v1)
wboyu	神奇小子(未加密版)
wboyo	神奇小子(第1套,315-5135)
wboy	神奇小子(第1套,315-5177)
wboy2	神奇小子(第2套,315-5178)
wboy2u	神奇小子(第2套,未加密版)
wboy3	神奇小子(第3套,315-5135)
wboy4	神奇小子(第4套,315-5162)
wboy5	神奇小子(第5套,盗版)
gg_wboydtrp	神奇小子-龙之陷阱(欧版)
wbdeluxe	神奇小子豪华版
md_wboy3	神奇小子III-怪物巢穴(欧版)~怪物巢穴(日版)
wb31d	神奇小子III-怪物巢穴(第1套,日版,系统16A,FD1094317-0084解密版)
wb31	神奇小子III-怪物巢穴(第1套,日版,系统16A,FD1094317-0084)
wb32d	神奇小子III-怪物巢穴(第2套,日版,系统16B,FD1094317-0085解密版)
